customer_id,customer_name,city
789201,Mega Fresh,Lagos
789202,Mega Fresh,Port Harcourt
789203,Mega Fresh,Ibadan
789301,Downtown Stores,Lagos
789303,Downtown Stores,Ibadan
789101,Mike Stores,Lagos
789102,Mike Stores,Port Harcourt
789103,Mike Stores,Ibadan
789121,Coolblue,Port Harcourt
789122,Coolblue,Ibadan
789220,Atlas Stores,Lagos
789221,Atlas Stores,Port Harcourt
789320,Chiptec Stores,Lagos
789321,Chiptec Stores,Port Harcourt
789401,Propel Mart,Lagos
789402,Propel Mart,Port Harcourt
789403,Propel Mart,Ibadan
789420,Lotus Mart,Lagos
789421,Lotus Mart,Port Harcourt
789422,Lotus Mart,Ibadan
789501,Brands Stores,Lagos
789503,Brands Stores,Ibadan
789520,Acclaimed Stores,Lagos
789521,Acclaimed Stores,Port Harcourt
789522,Acclaimed Stores,Ibadan
789601,Info Stores,Lagos
789603,Info Stores,Ibadan
789702,Royal Mart,Port Harcourt
789703,Royal Mart,Ibadan
789621,Expert Mart,Port Harcourt
789622,Expert Mart,Ibadan
789720,Logic Stores,Lagos
789721,Logic Stores,Port Harcourt
789902,Elite Mart,Port Harcourt
789903,Elite Mart,Ibadan
